,strategy,buy_and_hold
2011-01-03,1.0,1.0
2011-01-04,0.9996142410416773,0.9994489157738247
2011-01-05,1.0022121080243371,1.0046437904215453
2011-01-06,1.0012305124228689,1.002675835898098
2011-01-07,1.0002482695173915,1.0007085142592054
2011-01-10,0.9996187599312653,0.9994489157738247
2011-01-11,1.0013900300916254,1.0029908541852974
2011-01-12,1.0059085247139086,1.0120422899788428
2011-01-13,1.005087144267992,1.0103895119637334
2011-01-14,1.0087279480336118,1.0177095338362236
2011-01-18,1.0095860540819266,1.0194410268678482
2011-01-19,1.0046362836619105,1.0094448526549824
2011-01-20,1.0039704325917216,1.0081067764847946
2011-01-21,1.005107117206755,1.0103895119637332
2011-01-24,1.0079649190903677,1.0161351543953516
2011-01-25,1.0082382457069334,1.0166862386215267
2011-01-26,1.0101895732384103,1.020621593894436
2011-01-27,1.011436101307509,1.0231403953123506
2011-01-28,1.00260477553042,1.0052733523325275
2011-01-31,1.006372829773159,1.012829519254563
2011-02-01,1.0144282014697623,1.0290436259981377
2011-02-02,1.0144282014697623,1.0290436259981377
2011-02-03,1.0155553969617637,1.0313304972318378
2011-02-04,1.0169921758834208,1.034248691402472
2011-02-07,1.0201713339766056,1.0407148967000337
2011-02-08,1.0224904882747274,1.0454466086104108
2011-02-09,1.0213335934014212,1.043080871548431
2011-02-10,1.0215265696623128,1.0434750421655525
2011-02-11,1.0245760895129983,1.0497051255511087
2011-02-14,1.025807619039108,1.0522285942696483
2011-02-15,1.0241929453502185,1.0489160709576146
2011-02-16,1.0274271984540793,1.055540721270987
2011-02-17,1.0289623115171953,1.0586949580914884
2011-02-18,1.0300352321034951,1.0609028049726303
2011-02-22,1.019699046008415,1.0396109336283932
2011-02-23,1.016566350944184,1.0332231978484163
2011-02-24,1.0162171370946769,1.0325133261317583
2011-02-25,1.021650301107082,1.0435539079938323
2011-02-28,1.0248156591557809,1.050020351077811
2011-03-01,1.0162722660246244,1.0325133261317585
2011-03-02,1.017358786142203,1.0347210937507618
2011-03-03,1.026120658149563,1.05254389905849
2011-03-04,1.026120658149563,1.05254389905849
2011-03-07,1.022092834076535,1.0442808129957033
2011-03-08,1.0265644226140254,1.0534181319507505
2011-03-09,1.025829018130551,1.0519088483633903
2011-03-10,1.0163368613041324,1.0324418931899852
2011-03-11,1.019856640566008,1.0395930016523485
2011-03-14,1.0167776675636968,1.0333158865007464
2011-03-15,1.010953105770786,1.0214772861370278
2011-03-16,1.0015953971704212,1.0025670385083336
2011-03-17,1.0082234183275087,1.0158359404250248
2011-03-18,1.0100569870360179,1.0195307663127873
2011-03-21,1.0178836968909801,1.03533100649439
2011-03-22,1.0161184116881523,1.0317399193959804
2011-03-23,1.0175725176102788,1.0346928412397944
2011-03-24,1.0224381329872503,1.0445877967572679
2011-03-25,1.0240003028946847,1.047779820937743
2011-03-28,1.0227525486549482,1.0452263613143626
2011-03-29,1.0261881618093407,1.0522485749299084
2011-03-30,1.0297292519157848,1.0595106096266143
2011-03-31,1.029031098395594,1.0580739192336508
2011-04-01,1.0312042221742352,1.0625428329468158
2011-04-04,1.0312042221742352,1.0625428329468158
2011-04-05,1.031157734285128,1.0623831640460373
2011-04-06,1.0321328744543277,1.0657320616456243
2011-04-07,1.0313452094568638,1.06302104170362
2011-04-08,1.0302776234890978,1.0593531254806883
2011-04-11,1.0293471147987834,1.0561638967818796
2011-04-12,1.0270391164999284,1.0482701408206523
2011-04-13,1.0270157098741293,1.0481905058566459
2011-04-14,1.027250116947068,1.0489879726204543
2011-04-15,1.0309975246485423,1.05281468000408
2011-04-18,1.0194421124358028,1.0410147412843265
2011-04-19,1.0252983111717393,1.0469948642728049
2011-04-20,1.0392745314123304,1.0612668382479902
2011-04-21,1.0445840557466255,1.0666887185428922
2011-04-25,1.0434913320713035,1.0655728715121642
2011-04-26,1.05247067009895,1.0747422231994512
2011-04-27,1.0593416859381048,1.0817586380492044
2011-04-28,1.062777154787185,1.0852668055768044
2011-04-29,1.0652760256691303,1.0878185555907958
2011-05-02,1.0636360024642062,1.0861438275100663
2011-05-03,1.0598102974856525,1.0822371659842214
2011-05-04,1.0598102974856525,1.0822371659842214
2011-05-05,1.0502204639070656,1.0724443999213018
2011-05-06,1.0548580162085446,1.0771800884419394
2011-05-09,1.0589455597628108,1.0813541293646414
2011-05-10,1.0679846766309808,1.0905845248850632
2011-05-11,1.0567445021604416,1.0791064947196416
2011-05-12,1.0617747380526084,1.0842431764909795
2011-05-13,1.0536003589072804,1.075895817590138
2011-05-16,1.0469189954973794,1.069073068444563
2011-05-17,1.0467618276660104,1.0689125747516748
2011-05-18,1.056115830834966,1.0784645199480885
2011-05-19,1.0586306734620254,1.0810325796886495
2011-05-20,1.0502204639070662,1.0724443999213022
2011-05-23,1.038036889135422,1.0600030059626824
2011-05-24,1.0371723874003145,1.0591202103246227
2011-05-25,1.040631338291683,1.0626523568029445
2011-05-26,1.0454255077864831,1.067547976726255
2011-05-27,1.0494345460876429,1.0716418511296864
2011-05-31,1.0603600702451312,1.0827985726006366
2011-06-01,1.0365434800871036,1.058477994571548
2011-06-02,1.0354428332920516,1.0573540567582875
2011-06-03,1.0354428332920516,1.0573540567582875
2011-06-06,1.02448639054401,1.0461657624219896
2011-06-07,1.0238510870522275,1.045517015139464
2011-06-08,1.0195639008199737,1.0411391068580964
2011-06-09,1.0273444617304042,1.049084313853583
2011-06-10,1.0130535496297943,1.0344909887577747
2011-06-13,1.0138476789945225,1.035301922860932
2011-06-14,1.0267090787859587,1.0484354854370799
2011-06-15,1.008448473293661,1.0297884634332124
2011-06-16,1.010671797156912,1.032058835520121
2011-06-17,1.0136879791422864,1.0351388435665503
2011-06-20,1.0188736955381934,1.0404342959972532
2011-06-21,1.0328368654047357,1.054692943436681
2011-06-22,1.026613258874617,1.048337637860451
