,strategy,buy_and_hold
2011-01-03,1.0,1.0
2011-01-04,0.9998346747321474,0.9994489157738247
2011-01-05,1.0013937386487828,1.0046437904215453
2011-01-06,1.0008052622087207,1.002675835898098
2011-01-07,1.0002161667768263,1.0007085142592054
2011-01-10,0.9998384731475307,0.9994489157738247
2011-01-11,1.0009014688356797,1.0029908541852974
2011-01-12,1.0036112429107953,1.0120422899788428
2011-01-13,1.0031195401585218,1.0103895119637334
2011-01-14,1.0052997459764974,1.0177095338362236
2011-01-18,1.0058128598209628,1.0194410268678482
2011-01-19,1.0028540970360662,1.0094448526549824
2011-01-20,1.0024552951106644,1.0081067764847946
2011-01-21,1.0031362766261875,1.0103895119637332
2011-01-24,1.00484759556431,1.0161351543953516
2011-01-25,1.0050110843454716,1.0166862386215267
2011-01-26,1.0061781333877031,1.020621593894436
2011-01-27,1.0069230802683724,1.0231403953123506
2011-01-28,1.0016479279916297,1.0052733523325275
2011-01-31,1.003906602885415,1.012829519254563
2011-02-01,1.0087279815607946,1.0290436259981377
2011-02-02,1.0087279815607946,1.0290436259981377
2011-02-03,1.0109697047932982,1.0313304972318378
2011-02-04,1.0118278795220976,1.034248691402472
2011-02-07,1.0162560995376724,1.0407148967000337
2011-02-08,1.0194904548580357,1.0454466086104108
2011-02-09,1.0178755541701672,1.043080871548431
2011-02-10,1.0181448062026786,1.0434750421655525
2011-02-11,1.0224000003850278,1.0497051255511087
2011-02-14,1.024120479831307,1.0522285942696483
2011-02-15,1.021863654567697,1.0489160709576146
2011-02-16,1.0263813111246154,1.055540721270987
2011-02-17,1.0285282816400378,1.0586949580914884
2011-02-18,1.030029736859977,1.0609028049726303
2011-02-22,1.0155591535279167,1.0396109336283932
2011-02-23,1.0111911863083698,1.0332231978484163
2011-02-24,1.0107048720082725,1.0325133261317583
2011-02-25,1.0182700420809214,1.0435539079938323
2011-02-28,1.022686881167583,1.050020351077811
2011-03-01,1.0107509760153102,1.0325133261317585
2011-03-02,1.0122638400660415,1.0347210937507618
2011-03-03,1.0244690294792644,1.05254389905849
2011-03-04,1.0244690294792644,1.05254389905849
2011-03-07,1.018839152153698,1.0442808129957033
2011-03-08,1.0250794476057312,1.0534181319507505
2011-03-09,1.0240513706462027,1.0519088483633903
2011-03-10,1.0107853794806612,1.0324418931899852
2011-03-11,1.0156861541876547,1.0395930016523485
2011-03-14,1.011393219109876,1.0333158865007464
2011-03-15,1.0032820149741157,1.0214772861370278
2011-03-16,0.9902806314666791,1.0025670385083336
2011-03-17,0.9994550360151633,1.0158359404250248
2011-03-18,1.0019997073893863,1.0195307663127873
2011-03-21,1.012869693458697,1.03533100649439
2011-03-22,1.0104104680650658,1.0317399193959804
2011-03-23,1.0124347807434784,1.0346928412397944
2011-03-24,1.0192122490938509,1.0445877967572679
2011-03-25,1.0213923866638766,1.047779820937743
2011-03-28,1.0196499796077376,1.0452263613143626
2011-03-29,1.0244452470870442,1.0522485749299084
2011-03-30,1.029394353196123,1.0595106096266143
2011-03-31,1.0284172561523943,1.0580739192336508
2011-04-01,1.0314578145923403,1.0625428329468158
2011-04-04,1.0314578145923403,1.0625428329468158
2011-04-05,1.0313803157234247,1.0623831640460373
2011-04-06,1.0330059001549554,1.0657320616456243
2011-04-07,1.0316920147534017,1.06302104170362
2011-04-08,1.0299121064874661,1.0593531254806883
2011-04-11,1.0283618088726978,1.0561638967818796
2011-04-12,1.024518827123453,1.0482701408206523
2011-04-13,1.0244799118110997,1.0481905058566459
2011-04-14,1.0248696256442693,1.0489879726204543
2011-04-15,1.0267389874797104,1.05281468000408
2011-04-18,1.020985146199023,1.0410147412843265
2011-04-19,1.0239176775559504,1.0469948642728049
2011-04-20,1.0308963777126894,1.0612668382479902
2011-04-21,1.0335297384071749,1.0666887185428922
2011-04-25,1.0329891584470972,1.0655728715121642
2011-04-26,1.0374336413802607,1.0747422231994512
2011-04-27,1.040820064956951,1.0817586380492044
2011-04-28,1.0425077663653455,1.0852668055768044
2011-04-29,1.0437333724530555,1.0878185555907958
2011-05-02,1.0429299436189645,1.0861438275100663
2011-05-03,1.0410543290909013,1.0822371659842214
2011-05-04,1.0410543290909013,1.0822371659842214
2011-05-05,1.036344270231342,1.0724443999213018
2011-05-06,1.0386324092082078,1.0771800884419394
2011-05-09,1.0406447441121838,1.0813541293646414
2011-05-10,1.0450861950317116,1.0905845248850632
2011-05-11,1.0340870192701597,1.0791064947196416
2011-05-12,1.0390094027122518,1.0842431764909795
2011-05-13,1.0310102890688928,1.075895817590138
2011-05-16,1.0244721796592104,1.069073068444563
2011-05-17,1.0243183816371406,1.0689125747516748
2011-05-18,1.0334718271818806,1.0784645199480885
2011-05-19,1.035932749486972,1.0810325796886495
2011-05-20,1.0277028618345214,1.0724443999213022
2011-05-23,1.0157805130606152,1.0600030059626824
2011-05-24,1.014934546963244,1.0591202103246227
2011-05-25,1.0166269410139084,1.0626523568029445
2011-05-26,1.0189687318522478,1.067547976726255
2011-05-27,1.0209225222673723,1.0716418511296864
2011-05-31,1.0262368668930277,1.0827985726006366
2011-06-01,1.0031867129408902,1.058477994571548
2011-06-02,1.0021214858070082,1.0573540567582875
2011-06-03,1.0021214858070082,1.0573540567582875
2011-06-06,0.9946987866169014,1.0461657624219896
2011-06-07,0.9942670044743862,1.045517015139464
2011-06-08,0.9913526886069025,1.0411391068580964
2011-06-09,0.9966483802058844,1.049084313853583
2011-06-10,0.9869436409980407,1.0344909887577747
2011-06-13,0.987485204322955,1.035301922860932
2011-06-14,0.9962540850777688,1.0484354854370799
2011-06-15,0.983850822814378,1.0297884634332124
2011-06-16,0.9853691882530886,1.032058835520121
2011-06-17,0.9874276576415081,1.0351388435665503
2011-06-20,0.9909636213004984,1.0404342959972532
2011-06-21,1.0004700943849092,1.054692943436681
2011-06-22,0.9962500934391513,1.048337637860451
2011-06-23,0.994244712155632,1.045323023799729
2011-06-24,0.9861622283907553,1.0331834335795376
2011-06-27,0.9923135452836266,1.0423900305201756
2011-06-28,1.0013804762354368,1.0559964419160535
2011-06-29,1.007383635808671,1.0650401218302643
2011-06-30,1.014126580226813,1.0752242209294658
2011-07-01,1.0246162025188092,1.0911122009011203
2011-07-05,1.0246162025188092,1.0911122009011203
2011-07-06,1.0254735347717165,1.092416446305502
2011-07-07,1.0329216288976575,1.1037511687405805
2011-07-08,1.02779335152566,1.0959226918889413
2011-07-11,1.0147855026860033,1.0761082631075691
2011-07-12,1.0117175737431718,1.0714606606940973
2011-07-13,1.0140888719257013,1.0750482693640255
