date,regime,state_id,state_0,state_1,state_2,state_3,state_4
2010-10-18,Unknown,2,2.386919131074399e-67,1.5791051032868274e-190,1.0,0.0,0.0
2010-10-19,Unknown,2,3.4805352335522855e-40,3.354045565542123e-05,0.9999664595438557,0.0,0.0
2010-10-20,Unknown,2,5.013109025654357e-07,1.0784593387449715e-05,0.9999887140948193,0.0,0.0
2010-10-21,Unknown,2,3.327447783600288e-07,9.627498078914014e-06,0.9999900397565759,0.0,0.0
2010-10-22,Unknown,2,1.753936954527397e-07,1.9983087481637502e-05,0.9999798415186926,0.0,0.0
2010-10-25,Unknown,2,4.1451279686821686e-08,1.0814810854180335e-06,0.9999988770675311,0.0,0.0
2010-10-26,Unknown,2,1.2018932199036152e-09,1.3135052424517307e-06,0.999998685293531,0.0,0.0
2010-10-27,Unknown,2,1.031063519097063e-10,1.1089674857557457e-06,0.9999988909300339,0.0,0.0
2010-10-28,Unknown,2,5.2137894948587985e-11,1.5998471345661265e-06,0.999998400100055,0.0,0.0
2010-10-29,Unknown,2,7.140323479328375e-11,2.966624399362351e-06,0.9999970333036241,0.0,0.0
2010-11-01,Unknown,2,1.6774987654762233e-10,4.072193648535041e-06,0.9999959276384445,0.0,0.0
2010-11-02,Unknown,2,7.076895926077483e-10,1.88130481097721e-05,0.9999811862440697,0.0,0.0
2010-11-03,Unknown,2,2.5579314852655845e-10,3.991122794022842e-07,0.9999996006318612,0.0,0.0
2010-11-04,Unknown,2,2.319378080962146e-10,1.7322530573011634e-05,0.9999826772372867,0.0,0.0
2010-11-05,Unknown,2,1.2004581449671406e-09,7.828230039024357e-06,0.9999921705691124,0.0,0.0
2010-11-08,Unknown,2,3.195088650588274e-10,8.002738866737757e-06,0.9999919969424913,0.0,0.0
2010-11-09,Unknown,2,1.8845894980661395e-10,1.0737730260925871e-05,0.9999892620811706,0.0,0.0
2010-11-10,Unknown,2,1.2225423780022117e-10,1.0253595224137082e-05,0.9999897462819727,0.0,0.0
2010-11-11,Unknown,2,2.3726013293345566e-10,0.0003100757216390092,0.9996899240417008,0.0,0.0
2010-11-12,Unknown,2,4.734695757654187e-09,0.04886635927897703,0.951133635985629,0.0,0.0
2010-11-15,Unknown,2,3.3897729889528415e-07,0.20020551848829585,0.7997941425341344,0.0,0.0
2010-11-16,Sideways,1,1.642775131914566e-06,0.9097572458267146,0.09024111139881241,0.0,0.0
2010-11-17,Sideways,1,3.841091886521913e-06,0.9213733549663524,0.07862280394175798,0.0,0.0
2010-11-18,Sideways,1,2.9870667659231446e-06,0.8964425403797976,0.10355447255270055,0.0,0.0
2010-11-19,Sideways,1,4.3136507003029036e-07,0.870163149631842,0.1298364190032443,0.0,0.0
2010-11-22,Sideways,1,2.4766136452469525e-07,0.8836009941101578,0.11639875822938091,0.0,0.0
2010-11-23,Sideways,1,4.33574050636792e-07,0.9952100294860313,0.004789536940814777,0.0,0.0
2010-11-24,Sideways,1,1.2807724538035163e-07,0.9997059044989279,0.0002939674232761794,0.0,0.0
2010-11-26,Sideways,1,1.8645791773360746e-07,0.9999624254198276,3.738812267662854e-05,0.0,0.0
2010-11-29,Sideways,1,1.523732902658508e-07,0.9999880449855236,1.1802641049999748e-05,0.0,0.0
2010-11-30,Sideways,1,1.6638061905963414e-07,0.9999946261176558,5.207501739588373e-06,0.0,0.0
2010-12-01,Sideways,1,7.044776398164166e-08,0.9999998997973357,2.9754719276342094e-08,0.0,0.0
2010-12-02,Sideways,1,1.1825897551802273e-07,0.9999998736966598,8.04509209274061e-09,0.0,0.0
2010-12-03,Sideways,1,5.701758328761536e-08,0.999999916151868,2.68308714073478e-08,0.0,0.0
2010-12-06,Sideways,1,2.181606880088286e-07,0.9999995728722755,2.0896754617876105e-07,0.0,0.0
2010-12-07,Sideways,1,5.175499151387166e-07,0.9999994808751109,1.575661099655946e-09,0.0,0.0
2010-12-08,Sideways,1,2.53006674719446e-07,0.9999913251971253,8.421795712176755e-06,0.0,0.0
2010-12-09,Sideways,1,1.488268124172197e-07,0.9998014101875862,0.00019844098511245703,0.0,0.0
2010-12-10,Sideways,1,1.7454038331004962e-07,0.9995663828986497,0.00043344256096803784,0.0,0.0
2010-12-13,Sideways,1,2.015359734936478e-07,0.9984881709848189,0.001511627479954411,0.0,0.0
2010-12-14,Sideways,1,2.1658486463708134e-07,0.9905088733893745,0.009490910025813683,0.0,0.0
2010-12-15,Sideways,1,1.2673790446477406e-06,0.9650404271519635,0.03495830546899403,0.0,0.0
2010-12-16,Sideways,1,1.198654870516349e-06,0.7979157155384572,0.20208308580581294,0.0,0.0
2010-12-17,Sideways,1,1.8613388933831545e-06,0.536242699449218,0.4637554392120701,0.0,0.0
2010-12-20,Unknown,2,3.4800120752816425e-07,0.09415726508323752,0.905842386915629,0.0,0.0
2010-12-21,Unknown,2,4.2411000731515357e-08,0.01782863577316836,0.982171321815372,0.0,0.0
2010-12-22,Unknown,2,1.6168752919442364e-08,0.00675789255905501,0.9932420912719889,0.0,0.0
2010-12-23,Unknown,2,7.58045201895405e-09,0.0019221981704264659,0.9980777942489726,0.0,0.0
2010-12-27,Unknown,2,5.335794014349307e-10,0.00012800940929373373,0.9998719900571519,0.0,0.0
2010-12-28,Unknown,2,6.222828058317663e-11,5.321120874973194e-05,0.9999467887288624,0.0,0.0
2010-12-29,Unknown,2,1.7308603228585405e-11,4.28208341338315e-05,0.9999571791486914,0.0,0.0
2010-12-30,Unknown,2,5.4059411496846967e-11,0.0001348771426440731,0.999865122803366,0.0,0.0
2010-12-31,Unknown,2,2.2684110613349856e-11,3.5588979748505e-06,0.9999964410789863,0.0,0.0
2011-01-03,Unknown,2,3.371351245491031e-13,7.486291534144894e-07,0.9999992513697253,0.0,0.0
2011-01-04,Unknown,2,8.021433059649004e-14,9.208728756310332e-07,0.9999990791279435,0.0,0.0
2011-01-05,Unknown,2,7.744853964727166e-14,8.80959401626658e-07,0.999999119040173,0.0,0.0
2011-01-06,Unknown,2,1.1161987060634426e-13,1.6797196303012767e-06,0.9999983202811119,0.0,0.0
2011-01-07,Unknown,2,3.445826681004821e-13,2.8534493542008258e-06,0.9999971465499368,0.0,0.0
2011-01-10,Unknown,2,3.0345946158760837e-13,1.8206246651317617e-06,0.9999981793751633,0.0,0.0
2011-01-11,Unknown,2,1.4909198086205904e-13,1.1468100796031923e-06,0.9999988531896843,0.0,0.0
2011-01-12,Unknown,2,4.591648262049829e-14,9.908620594332536e-07,0.9999990091387552,0.0,0.0
2011-01-13,Unknown,2,2.908228975863519e-14,9.788039869503747e-07,0.999999021196824,0.0,0.0
2011-01-14,Unknown,2,2.697382304483375e-14,1.1644646542750457e-06,0.9999988355345936,0.0,0.0
2011-01-18,Unknown,2,5.145917868492402e-14,1.3411477312218178e-06,0.9999986588527362,0.0,0.0
2011-01-19,Unknown,2,6.547106864247216e-14,3.766827172053464e-06,0.9999962331728971,0.0,0.0
2011-01-20,Unknown,2,1.1758983774445733e-13,3.104981542282684e-06,0.9999968950190125,0.0,0.0
2011-01-21,Unknown,2,8.035965193668661e-14,2.0200428044213087e-06,0.999997979957919,0.0,0.0
2011-01-24,Unknown,2,1.0122361773230127e-13,3.899455210030445e-06,0.9999961005454311,0.0,0.0
2011-01-25,Unknown,2,2.0230662344022466e-13,5.085269718618896e-06,0.9999949147297381,0.0,0.0
2011-01-26,Unknown,2,5.537386574507861e-14,1.667823664787944e-06,0.9999983321754636,0.0,0.0
2011-01-27,Unknown,2,1.642708648950027e-14,1.8578016086854334e-06,0.9999981421987263,0.0,0.0
2011-01-28,Unknown,2,1.2165855507905913e-13,4.3460444962126105e-05,0.9999565395541272,0.0,0.0
2011-01-31,Unknown,2,4.743874910792132e-13,3.108227425556105e-05,0.9999689177249224,0.0,0.0
2011-02-01,Unknown,2,1.1932235833261491e-12,0.0002997585850267984,0.9997002414132096,0.0,0.0
