fold,train_start,train_end,test_start,test_end,n_states,regime_return_%,bh_return_%,outperformance_%,regimes_detected
0,2010-01-04,2010-12-31,2011-01-03,2011-02-01,5,1.443,2.904,-1.462,Sideways|Unknown
1,2010-02-03,2011-02-01,2011-02-02,2011-03-03,5,1.153,2.284,-1.131,Unknown
2,2010-03-05,2011-03-03,2011-03-04,2011-04-01,5,0.495,0.95,-0.455,High-Volatility|Unknown
3,2010-04-06,2011-04-01,2011-04-04,2011-05-03,2,2.774,1.854,0.921,Bear|Bull
4,2010-05-05,2011-05-03,2011-05-04,2011-06-02,5,-2.299,-2.299,0.0,Bull|Unknown
5,2010-06-04,2011-06-02,2011-06-03,2011-07-01,2,3.193,3.193,0.0,Bull
6,2010-07-06,2011-07-01,2011-07-05,2011-08-02,2,-3.652,-6.218,2.566,Bear|Bull
7,2010-08-04,2011-08-02,2011-08-03,2011-08-31,4,-11.829,-3.131,-8.698,High-Volatility|Bull
8,2010-09-02,2011-08-31,2011-09-01,2011-09-30,3,-2.918,-5.957,3.039,Bear|High-Volatility
9,2010-10-04,2011-09-30,2011-10-03,2011-10-31,4,5.425,14.164,-8.739,Bear|Sideways
10,2010-11-02,2011-10-31,2011-11-01,2011-11-30,4,-1.672,2.451,-4.123,Bear|Bull
11,2010-12-02,2011-11-30,2011-12-01,2011-12-30,2,0.347,1.061,-0.714,Bear
12,2011-01-03,2011-12-30,2012-01-03,2012-02-01,2,1.159,3.898,-2.739,Bear
13,2011-02-02,2012-02-01,2012-02-02,2012-03-02,2,2.376,3.49,-1.114,High-Volatility|Bull
14,2011-03-04,2012-03-02,2012-03-05,2012-04-02,2,4.177,4.177,0.0,Bull
15,2011-04-04,2012-04-02,2012-04-03,2012-05-02,5,-0.314,-0.665,0.351,High-Volatility|Unknown
16,2011-05-04,2012-05-02,2012-05-03,2012-06-01,5,-2.437,-7.964,5.527,Bear
17,2011-06-03,2012-06-01,2012-06-04,2012-07-02,4,4.038,7.117,-3.08,Bear|High-Volatility
18,2011-07-05,2012-07-02,2012-07-03,2012-08-01,5,0.175,0.131,0.044,Bear|Unknown
19,2011-08-03,2012-08-01,2012-08-02,2012-08-30,5,1.174,2.818,-1.644,High-Volatility|Bull
20,2011-09-01,2012-08-30,2012-08-31,2012-10-01,5,1.406,2.806,-1.4,Unknown
21,2011-10-03,2012-10-01,2012-10-02,2012-11-01,5,-0.567,-1.156,0.589,Unknown
22,2011-11-01,2012-11-01,2012-11-02,2012-12-03,4,1.621,-0.078,1.699,Bear|High-Volatility|Sideways
23,2011-12-01,2012-12-03,2012-12-04,2013-01-03,5,1.918,3.903,-1.986,Bear|Unknown
24,2012-01-03,2013-01-03,2013-01-04,2013-02-04,3,2.166,2.166,0.0,Bull
25,2012-02-02,2013-02-04,2013-02-05,2013-03-06,5,1.605,2.284,-0.679,Sideways
26,2012-03-05,2013-03-06,2013-03-07,2013-04-05,5,0.352,0.691,-0.339,High-Volatility|Unknown
27,2012-04-03,2013-04-05,2013-04-08,2013-05-06,5,2.51,3.566,-1.056,Bear|Sideways|Unknown
28,2012-05-03,2013-05-06,2013-05-07,2013-06-05,2,-0.818,-0.818,0.0,Bull
29,2012-06-04,2013-06-05,2013-06-06,2013-07-05,5,0.518,0.708,-0.191,Sideways
30,2012-07-03,2013-07-05,2013-07-08,2013-08-05,2,2.596,4.117,-1.521,Bear|Bull
31,2012-08-02,2013-08-05,2013-08-06,2013-09-04,3,-1.169,-2.345,1.176,High-Volatility
32,2012-08-31,2013-09-04,2013-09-05,2013-10-03,4,0.644,1.493,-0.848,High-Volatility|Sideways
33,2012-10-02,2013-10-03,2013-10-04,2013-11-01,3,4.334,4.334,0.0,Bull
34,2012-11-02,2013-11-01,2013-11-04,2013-12-03,2,1.651,1.651,0.0,Bull
35,2012-12-04,2013-12-03,2013-12-04,2014-01-03,5,0.608,2.311,-1.703,Bear|Unknown
36,2013-01-04,2014-01-03,2014-01-06,2014-02-04,5,-2.673,-3.822,1.149,Sideways
37,2013-02-05,2014-02-04,2014-02-05,2014-03-06,4,5.153,7.427,-2.274,Sideways
38,2013-03-07,2014-03-06,2014-03-07,2014-04-04,5,-0.406,-0.551,0.145,Bull|Unknown
39,2013-04-08,2014-04-04,2014-04-07,2014-05-06,5,0.674,1.324,-0.65,Unknown
40,2013-05-07,2014-05-06,2014-05-07,2014-06-05,5,1.748,3.497,-1.749,High-Volatility|Sideways
41,2013-06-06,2014-06-05,2014-06-06,2014-07-07,5,0.788,1.575,-0.787,High-Volatility|Unknown
42,2013-07-08,2014-07-07,2014-07-08,2014-08-05,3,-0.835,-2.156,1.32,Bear|High-Volatility
43,2013-08-06,2014-08-05,2014-08-06,2014-09-04,3,3.466,4.238,-0.772,High-Volatility|Bull
44,2013-09-05,2014-09-04,2014-09-05,2014-10-03,2,-0.758,-1.826,1.067,Bear|Bull
45,2013-10-04,2014-10-03,2014-10-06,2014-11-03,3,1.7,2.792,-1.092,Bear|Bull
46,2013-11-04,2014-11-03,2014-11-04,2014-12-03,5,2.017,3.392,-1.375,Sideways|Unknown
47,2013-12-04,2014-12-03,2014-12-04,2015-01-05,4,-0.058,-2.324,2.266,Bear|Bull|High-Volatility|Sideways
48,2014-01-06,2015-01-05,2015-01-06,2015-02-04,5,1.733,2.122,-0.389,High-Volatility|Sideways|Unknown
49,2014-02-05,2015-02-04,2015-02-05,2015-03-06,4,-0.084,0.669,-0.753,Bear|Sideways
50,2014-03-07,2015-03-06,2015-03-09,2015-04-07,4,-0.659,-0.074,-0.585,Bear|Sideways
51,2014-04-07,2015-04-07,2015-04-08,2015-05-06,2,-0.164,0.029,-0.193,Bear|Bull
52,2014-05-07,2015-05-06,2015-05-07,2015-06-05,2,0.308,0.431,-0.122,Sideways
53,2014-06-06,2015-06-05,2015-06-08,2015-07-07,5,0.196,0.265,-0.068,Sideways
54,2014-07-08,2015-07-07,2015-07-08,2015-08-05,3,2.709,2.709,0.0,Bull
55,2014-08-06,2015-08-05,2015-08-06,2015-09-03,3,-3.43,-6.144,2.713,Bear|Bull
56,2014-09-05,2015-09-03,2015-09-04,2015-10-05,5,2.421,3.589,-1.168,Bear|High-Volatility|Sideways
57,2014-10-06,2015-10-05,2015-10-06,2015-11-03,5,3.301,6.679,-3.378,Unknown
58,2014-11-04,2015-11-03,2015-11-04,2015-12-03,5,-1.542,-2.258,0.716,Sideways|Unknown
59,2014-12-04,2015-12-03,2015-12-04,2016-01-05,4,-2.348,-3.369,1.021,Sideways
60,2015-01-06,2016-01-05,2016-01-06,2016-02-04,4,-0.695,-3.631,2.936,Bear|High-Volatility
61,2015-02-05,2016-02-04,2016-02-05,2016-03-07,2,2.472,6.725,-4.253,Bear|High-Volatility
62,2015-03-09,2016-03-07,2016-03-08,2016-04-06,3,1.689,4.579,-2.89,Bear|High-Volatility
63,2015-04-08,2016-04-06,2016-04-07,2016-05-05,3,0.5,0.5,0.0,Bull
64,2015-05-07,2016-05-05,2016-05-06,2016-06-06,2,1.37,2.737,-1.367,High-Volatility
65,2015-06-08,2016-06-06,2016-06-07,2016-07-06,4,-0.722,-0.439,-0.283,Bear|High-Volatility|Sideways
66,2015-07-08,2016-07-06,2016-07-07,2016-08-04,5,1.634,3.284,-1.649,High-Volatility|Unknown
