fold,train_start,train_end,test_start,test_end,n_states,regime_return_%,bh_return_%,outperformance_%,regimes_detected
0,2010-01-04,2010-12-31,2011-01-03,2011-02-01,5,0.873,2.904,-2.032,Bear
1,2010-02-03,2011-02-01,2011-02-02,2011-03-03,4,1.56,2.284,-0.723,Bear|High-Volatility|Bull|Sideways
2,2010-03-05,2011-03-03,2011-03-04,2011-04-01,4,0.682,0.95,-0.268,High-Volatility|Sideways
3,2010-04-06,2011-04-01,2011-04-04,2011-05-03,3,0.93,1.854,-0.923,High-Volatility
4,2010-05-05,2011-05-03,2011-05-04,2011-06-02,4,-3.74,-2.299,-1.441,High-Volatility|Bull
5,2010-06-04,2011-06-02,2011-06-03,2011-07-01,4,2.245,3.193,-0.948,Bear|Sideways
6,2010-07-06,2011-07-01,2011-07-05,2011-08-02,4,-4.371,-6.218,1.847,Sideways
7,2010-08-04,2011-08-02,2011-08-03,2011-08-31,4,-0.761,-3.131,2.37,Bear
8,2010-09-02,2011-08-31,2011-09-01,2011-09-30,5,-2.941,-5.957,3.016,Unknown
9,2010-10-04,2011-09-30,2011-10-03,2011-10-31,4,14.164,14.164,0.0,Bull|Sideways
10,2010-11-02,2011-10-31,2011-11-01,2011-11-30,5,1.78,2.451,-0.671,Sideways
11,2010-12-02,2011-11-30,2011-12-01,2011-12-30,5,0.347,1.061,-0.714,Bear|Unknown
12,2011-01-03,2011-12-30,2012-01-03,2012-02-01,5,3.898,3.898,0.0,High-Volatility|Bull
13,2011-02-02,2012-02-01,2012-02-02,2012-03-02,5,2.436,3.49,-1.053,Sideways
14,2011-03-04,2012-03-02,2012-03-05,2012-04-02,4,2.918,4.177,-1.259,Bear|Sideways
15,2011-04-04,2012-04-02,2012-04-03,2012-05-02,4,-0.523,-0.665,0.143,High-Volatility|Bull|Sideways
16,2011-05-04,2012-05-02,2012-05-03,2012-06-01,5,-4.8,-7.964,3.164,High-Volatility|Sideways
17,2011-06-03,2012-06-01,2012-06-04,2012-07-02,5,7.117,7.117,0.0,Bull
18,2011-07-05,2012-07-02,2012-07-03,2012-08-01,4,0.131,0.131,0.0,Bull|Sideways
19,2011-08-03,2012-08-01,2012-08-02,2012-08-30,3,2.818,2.818,0.0,High-Volatility|Bull
20,2011-09-01,2012-08-30,2012-08-31,2012-10-01,5,0.844,2.806,-1.962,Bear
21,2011-10-03,2012-10-01,2012-10-02,2012-11-01,5,-0.567,-1.156,0.589,High-Volatility
22,2011-11-01,2012-11-01,2012-11-02,2012-12-03,2,-0.078,-0.078,0.0,High-Volatility|Bull
23,2011-12-01,2012-12-03,2012-12-04,2013-01-03,4,2.734,3.903,-1.169,Bull|Sideways
24,2012-01-03,2013-01-03,2013-01-04,2013-02-04,5,0.65,2.166,-1.516,Bear|Sideways
25,2012-02-02,2013-02-04,2013-02-05,2013-03-06,5,2.247,2.284,-0.037,High-Volatility|Bull|Sideways
26,2012-03-05,2013-03-06,2013-03-07,2013-04-05,5,0.691,0.691,0.0,High-Volatility|Bull
27,2012-04-03,2013-04-05,2013-04-08,2013-05-06,4,1.742,3.566,-1.824,Bear|High-Volatility|Sideways
28,2012-05-03,2013-05-06,2013-05-07,2013-06-05,4,-0.818,-0.818,0.0,Bull
29,2012-06-04,2013-06-05,2013-06-06,2013-07-05,4,0.011,0.708,-0.698,Bear|High-Volatility|Sideways
30,2012-07-03,2013-07-05,2013-07-08,2013-08-05,5,2.87,4.117,-1.247,Bull|Sideways
31,2012-08-02,2013-08-05,2013-08-06,2013-09-04,5,-1.169,-2.345,1.176,High-Volatility|Unknown
32,2012-08-31,2013-09-04,2013-09-05,2013-10-03,5,1.148,1.493,-0.345,Bear|Sideways|Unknown
33,2012-10-02,2013-10-03,2013-10-04,2013-11-01,5,2.16,4.334,-2.174,Unknown
34,2012-11-02,2013-11-01,2013-11-04,2013-12-03,2,0.03,1.651,-1.621,High-Volatility|Bull
35,2012-12-04,2013-12-03,2013-12-04,2014-01-03,5,0.693,2.311,-1.618,Bear|Unknown
36,2013-01-04,2014-01-03,2014-01-06,2014-02-04,5,-2.673,-3.822,1.149,Sideways|Unknown
37,2013-02-05,2014-02-04,2014-02-05,2014-03-06,4,3.659,7.427,-3.768,High-Volatility
38,2013-03-07,2014-03-06,2014-03-07,2014-04-04,4,-0.378,-0.551,0.173,Sideways
39,2013-04-08,2014-04-04,2014-04-07,2014-05-06,5,0.674,1.324,-0.65,High-Volatility|Sideways|Unknown
40,2013-05-07,2014-05-06,2014-05-07,2014-06-05,3,2.44,3.497,-1.057,Sideways
41,2013-06-06,2014-06-05,2014-06-06,2014-07-07,4,0.788,1.575,-0.787,High-Volatility
42,2013-07-08,2014-07-07,2014-07-08,2014-08-05,2,-2.518,-2.156,-0.362,High-Volatility|Bull
43,2013-08-06,2014-08-05,2014-08-06,2014-09-04,4,1.991,4.238,-2.247,Bear|High-Volatility|Sideways
44,2013-09-05,2014-09-04,2014-09-05,2014-10-03,2,-0.758,-1.826,1.067,Bear|Bull
45,2013-10-04,2014-10-03,2014-10-06,2014-11-03,2,2.156,2.792,-0.636,Bear|Bull
46,2013-11-04,2014-11-03,2014-11-04,2014-12-03,5,2.365,3.392,-1.027,Sideways
47,2013-12-04,2014-12-03,2014-12-04,2015-01-05,3,-1.73,-2.324,0.594,Bear|High-Volatility|Bull
48,2014-01-06,2015-01-05,2015-01-06,2015-02-04,5,2.122,2.122,0.0,Bull
49,2014-02-05,2015-02-04,2015-02-05,2015-03-06,4,0.207,0.669,-0.463,Bear|High-Volatility
50,2014-03-07,2015-03-06,2015-03-09,2015-04-07,3,-0.007,-0.074,0.067,Bear
51,2014-04-07,2015-04-07,2015-04-08,2015-05-06,3,0.017,0.029,-0.012,Bear
52,2014-05-07,2015-05-06,2015-05-07,2015-06-05,4,0.224,0.431,-0.207,High-Volatility|Bull
53,2014-06-06,2015-06-05,2015-06-08,2015-07-07,2,0.265,0.265,0.0,Bull
54,2014-07-08,2015-07-07,2015-07-08,2015-08-05,5,1.355,2.709,-1.353,High-Volatility
55,2014-08-06,2015-08-05,2015-08-06,2015-09-03,5,-3.072,-6.144,3.072,Sideways|Unknown
56,2014-09-05,2015-09-03,2015-09-04,2015-10-05,5,3.589,3.589,0.0,Bull|Unknown
57,2014-10-06,2015-10-05,2015-10-06,2015-11-03,5,3.301,6.679,-3.378,Unknown
58,2014-11-04,2015-11-03,2015-11-04,2015-12-03,4,-1.572,-2.258,0.686,Bear|Sideways
